corner,vdd_V,temp_C,select_state,selected_input,output_high_V,output_low_V,prop_delay_ps,rise_time_ps,fall_time_ps,functionality,status
TT,1.62,-40,0,I0,1.62045,4.62199e-09,99.7486,284.016,155.35,PASS,PASS
TT,1.62,-40,1,I1,1.62015,-1.60773e-05,102.854,286.463,152.86,PASS,PASS
TT,1.62,27,0,I0,1.62045,-2.45402e-06,92.6501,261.853,171.464,PASS,PASS
TT,1.62,27,1,I1,1.62014,-4.40031e-05,95.6389,264.183,168.951,PASS,PASS
TT,1.62,125,0,I0,1.62037,-6.06176e-06,85.2499,241.156,192.359,PASS,PASS
TT,1.62,125,1,I1,1.62006,-5.64936e-05,88.2723,243.542,189.686,PASS,PASS
TT,1.80,-40,0,I0,1.80047,5.57615e-09,77.2104,228.039,133.171,PASS,PASS
TT,1.80,-40,1,I1,1.80013,-1.43092e-05,79.6655,229.981,131.187,PASS,PASS
TT,1.80,27,0,I0,1.80047,-2.51421e-07,74.8472,218.447,148.29,PASS,PASS
TT,1.80,27,1,I1,1.80012,-3.59062e-05,77.2811,220.446,146.221,PASS,PASS
TT,1.80,125,0,I0,1.80037,-1.28394e-06,73.6148,208.24,169.163,PASS,PASS
TT,1.80,125,1,I1,1.80003,-5.76995e-05,74.502,210.324,166.888,PASS,PASS
TT,1.98,-40,0,I0,1.98049,8.19277e-09,63.9843,196.128,118.552,PASS,PASS
TT,1.98,-40,1,I1,1.98011,-1.2526e-05,66.0414,197.774,116.843,PASS,PASS
TT,1.98,27,0,I0,1.98049,1.0664e-08,63.8122,192.076,132.825,PASS,PASS
TT,1.98,27,1,I1,1.98011,-2.78308e-05,65.8824,193.761,131.01,PASS,PASS
TT,1.98,125,0,I0,1.98038,6.6928e-08,65.7249,186.834,153.376,PASS,PASS
TT,1.98,125,1,I1,1.98,-5.88872e-05,65.4401,188.697,151.348,PASS,PASS
SS,1.62,-40,0,I0,1.62079,-1.69188e-05,165.495,435.675,224.451,PASS,PASS
SS,1.62,-40,1,I1,1.62023,-6.53813e-05,170.7,439.538,220.286,PASS,PASS
SS,1.62,27,0,I0,1.62081,-3.47115e-05,147.935,387.058,258.471,PASS,PASS
SS,1.62,27,1,I1,1.62023,-8.24802e-05,152.927,390.686,254.416,PASS,PASS
SS,1.62,125,0,I0,1.62081,-4.52194e-05,129.843,343.045,298.93,PASS,PASS
SS,1.62,125,1,I1,1.62022,-0.000132738,135.004,346.843,294.694,PASS,PASS
SS,1.80,-40,0,I0,1.80075,-5.43139e-06,120.614,331.756,181.892,PASS,PASS
SS,1.80,-40,1,I1,1.80022,-5.95403e-05,124.603,334.873,178.775,PASS,PASS
SS,1.80,27,0,I0,1.80078,-2.93607e-05,114.294,311.419,213.024,PASS,PASS
SS,1.80,27,1,I1,1.80022,-8.30158e-05,118.281,314.466,209.827,PASS,PASS
SS,1.80,125,0,I0,1.80078,-4.59098e-05,106.533,289.7,253.105,PASS,PASS
SS,1.80,125,1,I1,1.80022,-0.000118112,110.592,292.958,249.605,PASS,PASS
SS,1.98,-40,0,I0,1.98071,-3.59388e-06,95.3988,274.564,155.833,PASS,PASS
SS,1.98,-40,1,I1,1.98022,-5.32249e-05,98.7082,277.262,153.277,PASS,PASS
SS,1.98,27,0,I0,1.98075,-2.3767e-05,93.94,266.249,184.493,PASS,PASS
SS,1.98,27,1,I1,1.98022,-8.32713e-05,97.3026,268.921,181.796,PASS,PASS
SS,1.98,125,0,I0,1.98076,-4.64374e-05,91.9366,255.269,223.338,PASS,PASS
SS,1.98,125,1,I1,1.98021,-0.000104486,94.6711,258.133,220.303,PASS,PASS
FF,1.62,-40,0,I0,1.62029,3.28711e-09,64.002,197.453,117.11,PASS,PASS
FF,1.62,-40,1,I1,1.62005,-4.83608e-06,65.9817,198.997,115.401,PASS,PASS
FF,1.62,27,0,I0,1.62028,4.2089e-09,62.6002,190.285,127.428,PASS,PASS
FF,1.62,27,1,I1,1.62004,-1.19486e-05,64.5446,191.838,125.64,PASS,PASS
FF,1.62,125,0,I0,1.61987,4.75871e-08,63.6135,186.87,142.547,PASS,PASS
FF,1.62,125,1,I1,1.61962,-2.94982e-06,64.1706,188.574,140.562,PASS,PASS
FF,1.80,-40,0,I0,1.8003,4.27927e-09,52.9581,170.063,103.83,PASS,PASS
FF,1.80,-40,1,I1,1.80005,-4.07064e-07,54.5964,171.373,102.371,PASS,PASS
FF,1.80,27,0,I0,1.80029,5.52167e-09,53.7274,167.334,113.572,PASS,PASS
FF,1.80,27,1,I1,1.80003,-1.01096e-05,54.8901,168.649,112.034,PASS,PASS
FF,1.80,125,0,I0,1.79978,4.56045e-08,56.6199,165.994,128.471,PASS,PASS
FF,1.80,125,1,I1,1.79953,-2.98827e-06,55.9005,167.433,126.754,PASS,PASS
FF,1.98,-40,0,I0,1.98033,6.79339e-09,46.5157,156.227,94.6751,PASS,PASS
FF,1.98,-40,1,I1,1.98006,6.79339e-09,47.9143,157.445,93.3386,PASS,PASS
FF,1.98,27,0,I0,1.9803,8.81716e-09,48.5339,154.668,103.93,PASS,PASS
FF,1.98,27,1,I1,1.98003,-8.26828e-06,48.9296,155.865,102.528,PASS,PASS
FF,1.98,125,0,I0,1.97965,4.75513e-08,51.6809,153.7,118.539,PASS,PASS
FF,1.98,125,1,I1,1.97939,-4.26931e-06,50.5649,154.97,116.977,PASS,PASS
