corner,vdd_V,temp_C,select_state,selected_input,output_high_V,output_low_V,voh_error_V,vol_error_V,voh_accuracy_percent,vol_accuracy_percent,prop_delay_ps,rise_time_ps,fall_time_ps,functionality,status
TT,1.62,-40,0,I0,1.62045,4.62199e-09,-0.000454,4.62199e-09,100.028025,100.000000,99.7486,284.016,155.35,PASS,PASS
TT,1.62,-40,1,I1,1.62015,-1.60773e-05,-0.000148,-1.60773e-05,100.009136,100.000992,102.854,286.463,152.86,PASS,PASS
TT,1.62,27,0,I0,1.62045,-2.45402e-06,-0.000455,-2.45402e-06,100.028086,100.000151,92.6501,261.853,171.464,PASS,PASS
TT,1.62,27,1,I1,1.62014,-4.40031e-05,-0.000144,-4.40031e-05,100.008889,100.002716,95.6389,264.183,168.951,PASS,PASS
TT,1.62,125,0,I0,1.62037,-6.06176e-06,-0.000366,-6.06176e-06,100.022593,100.000374,85.2499,241.156,192.359,PASS,PASS
TT,1.62,125,1,I1,1.62006,-5.64936e-05,-5.7e-05,-5.64936e-05,100.003519,100.003487,88.2723,243.542,189.686,PASS,PASS
TT,1.80,-40,0,I0,1.80047,5.57615e-09,-0.00047,5.57615e-09,100.026111,100.000000,77.2104,228.039,133.171,PASS,PASS
TT,1.80,-40,1,I1,1.80013,-1.43092e-05,-0.000128,-1.43092e-05,100.007111,100.000795,79.6655,229.981,131.187,PASS,PASS
TT,1.80,27,0,I0,1.80047,-2.51421e-07,-0.000473,-2.51421e-07,100.026278,100.000014,74.8472,218.447,148.29,PASS,PASS
TT,1.80,27,1,I1,1.80012,-3.59062e-05,-0.000125,-3.59062e-05,100.006944,100.001995,77.2811,220.446,146.221,PASS,PASS
TT,1.80,125,0,I0,1.80037,-1.28394e-06,-0.000373,-1.28394e-06,100.020722,100.000071,73.6148,208.24,169.163,PASS,PASS
TT,1.80,125,1,I1,1.80003,-5.76995e-05,-2.9e-05,-5.76995e-05,100.001611,100.003206,74.502,210.324,166.888,PASS,PASS
TT,1.98,-40,0,I0,1.98049,8.19277e-09,-0.00049,8.19277e-09,100.024747,100.000000,63.9843,196.128,118.552,PASS,PASS
